Unnamed: 0,CID,OdorName,CAS,CanonicalSMILES,MolecularWeight,Odor dilution,EDIBLE,BAKERY,SWEET,FRUIT,FISH,GARLIC,SPICES,COLD,SOUR,BURNT,ACID,WARM,MUSKY,SWEATY,AMMONIA/URINOUS,DECAYED,WOOD,GRASS,FLOWER,CHEMICAL,HOW STRONG IS THE SMELL?,HOW PLEASANT IS THE SMELL?,HOW FAMILIAR IS THE SMELL?
1,16741,2-Phenylethyl isothiocyanate,2257-09-2,C1=CC=C(C=C1)CCN=C=S,163.24,"1/1,000",26.428571428571427,19.0,10.25,1.0,30.0,23.7,26.857142857142858,9.5,28.357142857142858,31.0,25.846153846153847,31.22222222222222,34.86666666666667,31.692307692307693,30.857142857142858,24.529411764705884,14.666666666666666,10.333333333333334,2.0,25.3125,75.54545454545455,21.327272727272728,47.0
1,16741,2-Phenylethyl isothiocyanate,2257-09-2,C1=CC=C(C=C1)CCN=C=S,163.24,"1/100,000",26.2,13.75,15.2,25.0,13.4,30.166666666666668,21.454545454545453,48.333333333333336,24.666666666666668,18.33333333333333,25.55555555555556,13.22222222222222,27.09090909090909,11.5,12.857142857142858,19.571428571428573,25.375,11.0,13.75,33.92857142857143,38.18604651162791,37.69767441860465,41.325581395348834
2,17121,1-Octen-3-yl acetate,2442-10-6,CCCCCC(C=C)OC(=O)C,170.25,"1/1,000",25.4,4.0,32.18181818181818,23.444444444444443,16.5,20.8,20.0,37.5,46.0,39.0,27.818181818181817,16.857142857142858,31.25,28.666666666666668,18.55555555555556,23.125,7.5,32.125,24.2,19.176470588235293,55.88,34.08,35.24
2,17121,1-Octen-3-yl acetate,2442-10-6,CCCCCC(C=C)OC(=O)C,170.25,"1/100,000",14.0,8.0,47.42857142857143,27.0,12.5,20.5,27.0,32.2,38.16666666666666,21.75,3.0,22.83333333333333,25.416666666666668,19.0,3.5,15.25,26.25,9.25,2.0,35.142857142857146,26.363636363636363,42.90909090909091,32.75757575757576
3,520191,"3-Acetyl-2,5-dimethylthiophene",2530-10-1,CC1=CC(=C(S1)C)C(=O)C,154.23,"1/1,000",33.833333333333336,32.666666666666664,21.181818181818183,31.33333333333333,45.42857142857143,26.6,32.375,19.5,22.294117647058822,23.0,24.05,15.77777777777778,36.0,20.53846153846154,27.22222222222222,22.33333333333333,19.8,34.0,27.88888888888889,31.85185185185185,78.9090909090909,27.654545454545456,47.36363636363637
3,520191,"3-Acetyl-2,5-dimethylthiophene",2530-10-1,CC1=CC(=C(S1)C)C(=O)C,154.23,"1/100,000",30.666666666666668,,27.307692307692307,33.2,36.66666666666666,31.0,7.0,36.333333333333336,23.33333333333333,30.5,18.75,31.0,22.444444444444443,16.0,25.5,45.66666666666666,18.75,18.0,32.666666666666664,42.0,19.352941176470587,49.41176470588236,35.411764705882355
4,92979,Androstadienone,4075-07-4,CC12CCC3C(C1CC=C2)CCC4=CC(=O)CCC34C,270.4,"1/1,000",1.0,1.0,19.0,3.0,6.5,4.0,20.375,32.125,25.2,22.88888888888889,23.176470588235293,26.0,26.22222222222222,33.625,26.5,32.142857142857146,35.0,13.5,1.0,27.291666666666668,63.11904761904762,29.166666666666668,45.76190476190476
4,92979,Androstadienone,4075-07-4,CC12CCC3C(C1CC=C2)CCC4=CC(=O)CCC34C,270.4,"1/100,000",28.0,3.5,45.85714285714285,46.0,5.0,45.0,10.5,11.77777777777778,46.333333333333336,35.5,12.636363636363637,13.25,30.58333333333333,26.83333333333333,35.333333333333336,20.8,25.25,19.5,22.285714285714285,35.083333333333336,38.21212121212121,38.63636363636363,31.57575757575757
5,62580,Piperonyl isobutyrate,5461-08-5,CC(C)C(=O)OCC1=CC2=C(C=C1)OCO2,222.24,"1/1,000",4.5,12.5,28.0,42.66666666666666,5.0,3.0,27.5,40.333333333333336,35.27272727272727,31.0,18.5,18.25,32.714285714285715,47.5,19.75,32.5,5.0,4.0,10.2,25.4,29.379310344827587,48.27586206896552,38.41379310344828
5,62580,Piperonyl isobutyrate,5461-08-5,CC(C)C(=O)OCC1=CC2=C(C=C1)OCO2,222.24,"1/100,000",51.0,,20.7,6.0,,,7.75,17.0,19.0,35.75,24.625,5.6,28.0,37.0,23.0,22.0,40.5,50.0,43.8,22.75,26.357142857142858,43.07142857142857,30.25
